letters,longest,wordlen,
acckooot,cockatoo,8,
aioprrtt,portrait,8,
almnor,normal,6,
deegnr,gender,6,
acellr,recall,6,
aciorrs,corsair,7,
cdoorst,doctors,7,
ceeffst,effects,7,
accnoor,raccoon,7,
eenprtv,prevent,7,
cdeilnu,include,7,
eeeginnr,engineer,8,
ceimno,income,6,
aadepr,parade,6,
aacelp,palace,6,
almnos,salmon,6,
bdeknu,debunk,6,
eimpru,umpire,6,
aeghnr,hanger,6,
eerstt,street,6,
aeehrt,heater,6,
eirsuvv,survive,7,
aaaglns,lasagna,7,
cinnoru,unicorn,7,
ghinosw,showing,7,
eiilmss,missile,7,
addffnru,dandruff,8,
eklooorv,overlook,8,
eeenorvy,everyone,8,
bdelou,double,6,
afilmy,family,6,
adhlry,hardly,6,
celorv,clover,6,
eehirt,either,6,
abeggr,beggar,6,
eoprrt,report,6,
aeelrt,relate,6,
ccikopt,cockpit,7,
kllmosu,mollusk,7,
emmnost,moments,7,
eefinss,finesse,7,
ginnrtu,turning,7,
acdeghn,changed,7,
einprrt,printer,7,
eeimrtt,termite,7,
aginnnoy,annoying,8,
aaccdeim,academic,8,
eeeghint,eighteen,8,
deknoy,donkey,6,
abeglu,beluga,6,
elnoss,lesson,6,
aenptt,patent,6,
ceinpr,prince,6,
adeerr,reader,6,
eimrtux,mixture,7,
cemnosu,consume,7,
abeklnt,blanket,7,
eknortw,network,7,
acinrtu,curtain,7,
ddeeotv,devoted,7,
aeilnpx,explain,7,
densttu,student,7,
eeiiklsw,likewise,8,
eiiknnsw,wineskin,8,
cdiinstt,distinct,8,
ghhoortu,thorough,8,
cfinnotu,function,8,
bceklu,buckle,6,
abinos,bonsai,6,
acdeln,candle,6,
aelrtt,latter,6,
beefint,benefit,7,
bemssuu,subsume,7,
eeimmns,immense,7,
abeirrr,barrier,7,
ahmnory,harmony,7,
eeggisv,veggies,7,
deeegrt,greeted,7,
bilrsty,bristly,7,
fgiilnt,lifting,7,
accilru,crucial,7,
celmpru,crumple,7,
dinoors,indoors,7,
deghilt,delight,7,
aeillrt,literal,7,
dnorrsuu,surround,8,
dginoppr,dropping,8,
aacinotv,vacation,8,
ailmmort,immortal,8,
dddeiinv,dividend,8,
agiinnpt,painting,8,
eilmty,timely,6,
aeilsy,easily,6,
acdelr,cradle,6,
almsuy,asylum,6,
eemprt,temper,6,
horsst,shorts,6,
adeggr,dagger,6,
adlmno,almond,6,
aaillnv,vanilla,7,
efilopr,profile,7,
aefflsw,waffles,7,
aehnpps,happens,7,
aeeilrr,earlier,7,
eeenruv,revenue,7,
aeijlnv,javelin,7,
adelnnp,planned,7,
ghiinst,insight,7,
ceoprtt,protect,7,
agiilns,sailing,7,
acnoort,cartoon,7,
aahmnort,marathon,8,
ceeeirsx,exercise,8,
dghiimnt,midnight,8,
eiinorrt,interior,8,
ceeilnot,election,8,
fgghiint,fighting,8,
acgghinn,changing,8,
behilorr,horrible,8,
aacemr,camera,6,
adensu,sundae,6,
agimnr,arming,6,
eeersv,severe,6,
aderrw,reward,6,
aelqtuz,quetzal,7,
chiorst,ostrich,7,
aaegnrr,arrange,7,
aemorrr,armorer,7,
acilrty,clarity,7,
abeelns,enables,7,
egoprru,grouper,7,
ahimntuy,humanity,8,
adeitttu,attitude,8,
dghnotuu,doughnut,8,
adimnnot,dominant,8,
aaclpttu,catapult,8,
nnooprsu,pronouns,8,
ceeeirrv,receiver,8,
acers,acres,5,
eehlmt,helmet,6,
aehhlt,health,6,
ehorty,theory,6,
aenptu,peanut,6,
deikny,kidney,6,
gipsty,pigsty,6,
acilos,social,6,
eerrsv,server,6,
aaclost,coastal,7,
bcdiorw,cowbird,7,
affnors,saffron,7,
abilrry,library,7,
iimosst,mitosis,7,
aaefrrw,warfare,7,
fhinssu,sunfish,7,
dehnoor,honored,7,
aadglru,gradual,7,
acgilln,calling,7,
aadderw,awarded,7,
egmortu,gourmet,7,
deeelns,needles,7,
eeloprx,explore,7,
chinosu,cushion,7,
iorsttu,tourist,7,
deiilmp,implied,7,
eoprtty,pottery,7,
aeeinrt,trainee,7,
deeipss,despise,7,
adeggst,gadgets,7,
cceilrs,circles,7,
aeegrrt,greater,7,
giinors,origins,7,
fhlmotuu,mouthful,8,
abehiorv,behavior,8,
cceemmor,commerce,8,
deegghho,hedgehog,8,
acfiilty,facility,8,
ainqttuy,quantity,8,
aabimors,ambrosia,8,
defiillw,wildlife,8,
cddegiin,deciding,8,
bbdellmu,dumbbell,8,
deellmor,modeller,8,
elmopy,employ,6,
enoprv,proven,6,
aeintv,native,6,
eelpsy,sleepy,6,
bdenru,burned,6,
deginw,winged,6,
airsst,stairs,6,
ehlost,hotels,6,
fghiins,fishing,7,
eimoprv,improve,7,
aeglrru,regular,7,
aabdorv,bravado,7,
aimnstu,tsunami,7,
aefhrrt,farther,7,
aabdhlln,handball,8,
eeehnrvw,whenever,8,
aceopt,toecap,6,
effrsu,suffer,6,
fhortu,fourth,6,
abbors,absorb,6,
elmssu,mussel,6,
knrstu,trunks,6,
acelst,castle,6,
acginr,racing,6,
ccenopt,concept,7,
eeoprrv,reprove,7,
bceegir,iceberg,7,
cemmnot,comment,7,
aeeoprt,operate,7,
ceijstu,justice,7,
aciiilnv,civilian,8,
aehlntuz,hazelnut,8,
ddeeefrr,deferred,8,
cijnnotu,junction,8,
acillnor,carillon,8,
cmostu,custom,6,
adeimr,admire,6,
abeerv,beaver,6,
ghiknt,knight,6,
efgort,forget,6,
aellry,really,6,
ceinot,notice,6,
oprstu,sprout,6,
eimntu,minute,6,
deenrt,tender,6,
beggist,biggest,7,
aeilotv,violate,7,
cenostt,contest,7,
eggjlru,juggler,7,
addeiitv,additive,8,
aacciltt,tactical,8,
ceeorrvy,recovery,8,
aehrrt,rather,6,
eeirvw,viewer,6,
ceelrtu,lecture,7,
cdddeei,decided,7,
aginrvy,varying,7,
aeekmrt,meerkat,7,
abertty,battery,7,
inooprt,portion,7,
deeegrs,degrees,7,
acinotu,auction,7,
beeilnss,sensible,8,
aaellorv,alveolar,8,
adortw,toward,6,
aellmt,mallet,6,
aerrty,artery,6,
deirrv,driver,6,
aempttt,attempt,7,
cenoqru,conquer,7,
acmopss,compass,7,
deiistv,visited,7,
cdenoss,seconds,7,
enrrsuy,nursery,7,
eiorssu,serious,7,
fhhikoos,fishhook,8,
acdeeinu,audience,8,
aacdimrt,dramatic,8,
anorty,notary,6,
aabcrs,scarab,6,
celors,closer,6,
aceert,create,6,
deflor,folder,6,
adeelr,leader,6,
deeinv,devein,6,
achirty,charity,7,
aceflru,careful,7,
enorsuv,nervous,7,
eikmmrs,skimmer,7,
acorrtt,tractor,7,
eglnost,longest,7,
cemnooy,economy,7,
aaegssu,sausage,7,
eginstt,testing,7,
giiklnn,linking,7,
iklmorsw,silkworm,8,
ennooppt,opponent,8,
iioprrty,priority,8,
abknprtu,bankrupt,8,
aeirtw,waiter,6,
ghirtw,wright,6,
aertty,treaty,6,
abelrr,barrel,6,
deintu,united,6,
efilrt,filter,6,
aloppru,popular,7,
bdeelss,blessed,7,
aemnpty,payment,7,
acefinn,finance,7,
ddeenps,depends,7,
giinrtw,writing,7,
ddeeentx,extended,8,
aadeeqtu,adequate,8,
abhilnot,biathlon,8,
agiinnrt,training,8,
cekopt,pocket,6,
abclmy,cymbal,6,
acepst,aspect,6,
cekort,rocket,6,
abegln,bangle,6,
adeimn,median,6,
eemort,remote,6,
ceerst,secret,6,
agmnsty,gymnast,7,
ehosttt,hottest,7,
bdeeiss,besides,7,
effilry,firefly,7,
bgiilno,boiling,7,
aceghns,changes,7,
belortu,trouble,7,
cepsstu,suspect,7,
dgiinrv,driving,7,
adimstu,stadium,7,
aiorsuv,various,7,
acefiipr,pacifier,8,
abhlosww,washbowl,8,
aabilnot,ablation,8,
beeelmrs,resemble,8,
accnortt,contract,8,
aprsy,spray,5,
aefst,feast,5,
ailmny,mainly,6,
delmou,module,6,
denorv,vendor,6,
addelp,paddle,6,
adilns,island,6,
deelrw,welder,6,
aefmrr,farmer,6,
aeiprr,repair,6,
accmopt,compact,7,
aejlosu,jealous,7,
cehrstt,stretch,7,
aefilru,failure,7,
abglnoo,bologna,7,
accehns,chances,7,
aegimry,imagery,7,
efgirsu,figures,7,
eiilmps,implies,7,
clnostu,consult,7,
aeginrw,wearing,7,
adgilno,loading,7,
cdinotu,conduit,7,
cdeinot,noticed,7,
deginrr,grinder,7,
ckoopstt,stockpot,8,
adfillln,landfill,8,
acdiijlu,judicial,8,
dfnoopru,profound,8,
eenoortv,overtone,8,
acennnou,announce,8,
aacdejnt,adjacent,8,
aacmnoor,macaroon,8,
deefiint,definite,8,
deepsy,speedy,6,
acelot,locate,6,
elrsuy,surely,6,
degist,digest,6,
defgir,fridge,6,
beilmo,mobile,6,
deirst,stride,6,
dfghios,dogfish,7,
ccghino,gnocchi,7,
eefmpru,perfume,7,
aiilorv,ravioli,7,
adilpsy,display,7,
addimno,diamond,7,
abemssy,embassy,7,
emooprt,promote,7,
ailmnno,nominal,7,
aflmoru,formula,7,
hiorsty,history,7,
deeiops,episode,7,
degillr,grilled,7,
eflmorry,formerly,8,
chiiorst,historic,8,
adeipttu,aptitude,8,
aiilmrty,military,8,
abenry,nearby,6,
ilmpsy,simply,6,
abnrtu,turban,6,
abbdmor,bombard,7,
deeefns,defense,7,
aaimrsu,samurai,7,
eginnop,opening,7,
aacilpt,capital,7,
aelmorv,removal,7,
ceeirsv,service,7,
ceeipss,species,7,
aeesstt,estates,7,
eforrsu,ferrous,7,
eiimnrt,interim,7,
eeehrrvw,wherever,8,
adeervyy,everyday,8,
aceginno,canoeing,8,
aekst,takes,5,
abellt,ballet,6,
cehoos,choose,6,
achnor,anchor,6,
acdenr,dancer,6,
eflorw,flower,6,
abeiptz,baptize,7,
ahnoopr,harpoon,7,
eeforrv,forever,7,
ailrtuv,virtual,7,
egilmps,glimpse,7,
acdelot,located,7,
aaginst,against,7,
acellry,clearly,7,
acinnot,contain,7,
eelrstt,letters,7,
fiilmpsy,simplify,8,
giiilmnt,limiting,8,
acepr,recap,5,
ahmrtw,warmth,6,
ciksty,sticky,6,
efginr,finger,6,
aackltw,catwalk,7,
aimprry,primary,7,
hlprsuu,sulphur,7,
aeglppr,grapple,7,
accehos,coaches,7,
addeisv,advised,7,
cceelry,recycle,7,
adiorsv,advisor,7,
aeenrtv,veteran,7,
ceoorst,scooter,7,
eeqrstu,request,7,
bccemruu,cucumber,8,
aaegimrr,marriage,8,
cdeeiimn,medicine,8,
cdeiinnt,incident,8,
